age,gender,education_type,income_type,family_status,housing_type,family_members,annual_income,credit_amount,annuity_amount,goods_price,ext_source_1,ext_source_2,ext_source_3,employment_years,dti_ratio,lti_ratio,ext_source_mean,TARGET
35,F,Secondary / secondary special,Commercial associate,Single / not married,House / apartment,3,50028.49,353188.91,26449.16,336760.2,0.902,0.7066,0.7229,0.13,0.5287,7.0596,0.7772,1
67,M,Lower secondary,Working,Civil marriage,Rented apartment,1,108544.7,430288.39,31498.72,415759.37,0.4926,0.6173,0.814,3.57,0.2902,3.9641,0.6413,0
64,F,Secondary / secondary special,Working,Married,With parents,6,172156.71,228837.32,19696.5,233176.07,0.9499,0.8259,0.8231,3.33,0.1144,1.3292,0.8663,0
23,F,Higher education,Working,Single / not married,House / apartment,3,52701.74,326404.81,27510.02,274912.41,0.8129,0.539,0.902,6.13,0.522,6.1933,0.7513,1
57,F,Higher education,Commercial associate,Single / not married,House / apartment,2,279907.66,1374809.17,81963.07,1208090.03,0.6805,0.7663,0.7594,4.99,0.2928,4.9116,0.7354,0
27,F,Higher education,Commercial associate,Married,House / apartment,3,63318.04,589492.87,46942.6,614596.81,0.5325,0.8051,0.5426,5.92,0.7414,9.3099,0.6267,1
41,M,Secondary / secondary special,State servant,Married,With parents,1,568318.49,1242402.72,111453.06,1018481.63,0.8283,0.9023,0.6849,10.37,0.1961,2.1861,0.8052,1
29,F,Secondary / secondary special,Working,Single / not married,House / apartment,1,138460.29,600060.42,38947.93,588746.67,0.6017,0.8288,0.6681,7.9,0.2813,4.3338,0.6995,1
59,F,Higher education,Commercial associate,Married,Rented apartment,3,290293.44,127355.66,8835.72,136723.92,0.7663,0.6645,0.357,12.54,0.0304,0.4387,0.5959,0
38,M,Higher education,Working,Single / not married,House / apartment,2,104188.07,346586.22,12075.02,286690.17,0.9334,0.8382,0.513,10.41,0.1159,3.3265,0.7616,0
24,F,Higher education,Working,Separated,House / apartment,1,184393.02,566527.75,50452.62,640473.9,0.953,0.8307,0.424,8.63,0.2736,3.0724,0.7359,0
45,F,Lower secondary,Working,Married,House / apartment,3,435270.99,1492793.9,126782.35,1329659.45,0.9631,0.8174,0.7684,2.18,0.2913,3.4296,0.8496,1
34,F,Incomplete higher,Working,Married,House / apartment,2,106774.59,687683.95,40024.21,634977.14,0.6198,0.7739,0.9746,1.57,0.3748,6.4405,0.7894,1
29,M,Secondary / secondary special,Commercial associate,Married,Rented apartment,3,168299.4,507764.69,29617.02,469702.33,0.5005,0.8437,0.7205,0.52,0.176,3.017,0.6882,1
46,F,Lower secondary,Working,Married,House / apartment,4,216379.28,756081.1,49020.78,678923.07,0.6779,0.8634,0.5458,0.02,0.2265,3.4942,0.6957,1
22,F,Secondary / secondary special,Working,Married,House / apartment,3,83405.08,466906.06,34399.91,474294.54,0.9522,0.8298,0.6056,11.04,0.4124,5.598,0.7959,1
40,M,Secondary / secondary special,Working,Separated,House / apartment,4,57637.25,309071.9,22687.85,326205.7,0.5633,0.746,0.8402,0.35,0.3936,5.3623,0.7165,1
48,M,Secondary / secondary special,Commercial associate,Married,House / apartment,1,146195.93,395662.42,27202.15,407977.74,0.8457,0.8535,0.8047,5.82,0.1861,2.7064,0.8346,0
67,M,Secondary / secondary special,Commercial associate,Single / not married,House / apartment,1,162695.56,175302.06,8283.95,176104.88,0.789,0.9336,0.4439,2.44,0.0509,1.0775,0.7222,0
27,F,Higher education,Pensioner,Single / not married,House / apartment,3,277494.15,1524323.08,95445.95,1396962.72,0.7514,0.8761,0.7596,10.1,0.344,5.4932,0.7957,1
64,F,Secondary / secondary special,Commercial associate,Civil marriage,House / apartment,5,351077.36,744999.86,47102.57,637787.71,0.4769,0.8185,0.9327,2.63,0.1342,2.122,0.7427,0
28,M,Incomplete higher,Commercial associate,Married,House / apartment,4,69922.94,483491.92,28591.62,428819.64,0.7298,0.6171,0.8676,0.18,0.4089,6.9145,0.7382,1
67,M,Higher education,Working,Civil marriage,With parents,3,97150.99,539555.25,18408.88,461592.56,0.8142,0.75,0.5818,8.0,0.1895,5.5537,0.7153,0
55,M,Higher education,Working,Married,House / apartment,2,115590.59,1269274.14,105484.78,1079742.11,0.5494,0.7652,0.7224,1.16,0.9126,10.9807,0.679,1
34,F,Higher education,Commercial associate,Civil marriage,With parents,3,56973.77,1107377.15,54666.8,946416.08,0.8412,0.8534,0.7466,14.52,0.9595,19.4363,0.8137,1
37,M,Higher education,Commercial associate,Married,With parents,3,303139.59,694786.14,47122.2,673965.88,0.7266,0.9597,0.7542,1.16,0.1554,2.292,0.8135,0
56,M,Higher education,State servant,Married,House / apartment,3,332809.81,559519.62,37908.87,595820.38,0.8384,0.546,0.9132,12.86,0.1139,1.6812,0.7659,0
60,M,Secondary / secondary special,State servant,Married,House / apartment,2,467975.08,395621.94,14836.17,403570.33,0.6137,0.7623,0.8083,2.42,0.0317,0.8454,0.7281,0
24,F,Higher education,Pensioner,Separated,House / apartment,3,74439.04,356448.44,29861.52,409147.37,0.7409,0.844,0.4188,2.08,0.4011,4.7884,0.6679,1
22,M,Higher education,State servant,Married,House / apartment,3,97292.68,256628.21,13269.85,246972.03,0.4347,0.6269,0.6335,11.05,0.1364,2.6377,0.565,0
26,M,Incomplete higher,Commercial associate,Married,House / apartment,2,151245.84,94844.91,3235.42,81339.4,0.8621,0.8988,0.5445,4.76,0.0214,0.6271,0.7685,0
62,F,Secondary / secondary special,Working,Married,House / apartment,3,388488.57,746438.86,63167.63,634034.8,0.6954,0.8615,0.767,24.95,0.1626,1.9214,0.7747,0
24,M,Higher education,Working,Married,House / apartment,2,96047.42,273074.91,11733.17,220550.35,0.6463,0.9365,0.6227,4.14,0.1222,2.8431,0.7352,0
49,M,Higher education,Pensioner,Married,With parents,1,180631.41,1138627.38,84416.92,1152713.24,0.4924,0.6863,0.8745,5.77,0.4673,6.3036,0.6844,1
38,F,Secondary / secondary special,Working,Married,Rented apartment,3,143669.52,679955.11,59411.56,551394.31,0.8051,0.7532,0.6109,4.69,0.4135,4.7327,0.7231,1
46,M,Secondary / secondary special,Working,Married,House / apartment,5,122392.84,149274.33,6524.57,167056.62,0.6824,0.5559,0.7755,0.01,0.0533,1.2196,0.6713,0
64,F,Higher education,Working,Single / not married,House / apartment,2,187653.61,498223.08,35983.81,535437.7,0.8028,0.9003,0.4451,4.41,0.1918,2.655,0.7161,0
54,M,Incomplete higher,Working,Married,House / apartment,2,136200.56,591888.66,27732.06,665002.83,0.8232,0.599,0.7748,4.85,0.2036,4.3457,0.7324,1
30,F,Secondary / secondary special,Commercial associate,Married,House / apartment,4,130544.44,1466788.0,116063.02,1443287.11,0.8146,0.7744,0.9556,2.94,0.8891,11.2358,0.8482,1
56,M,Incomplete higher,Commercial associate,Married,Municipal apartment,5,219628.65,649930.67,52661.22,669668.63,0.5523,0.8379,0.8341,7.55,0.2398,2.9592,0.7414,0
34,F,Higher education,Commercial associate,Single / not married,House / apartment,1,188812.43,313126.98,19226.15,262095.05,0.7155,0.7263,0.4292,1.07,0.1018,1.6584,0.6237,0
51,M,Higher education,Commercial associate,Single / not married,Rented apartment,4,240544.53,533265.43,33117.51,434070.55,0.6995,0.5331,0.6065,1.74,0.1377,2.2169,0.613,0
35,M,Higher education,Working,Married,House / apartment,2,128464.71,203755.51,12843.08,229355.83,0.8692,0.6287,0.6522,4.85,0.1,1.5861,0.7167,0
28,F,Higher education,Working,Single / not married,House / apartment,1,148534.64,734202.82,58449.31,618979.09,0.808,0.922,0.4123,1.08,0.3935,4.9429,0.7141,1
34,F,Higher education,Pensioner,Married,House / apartment,4,92565.31,448336.22,16731.4,379435.79,0.9401,0.6539,0.8734,1.04,0.1808,4.8434,0.8225,1
43,M,Higher education,Working,Civil marriage,With parents,3,199046.63,318844.28,16996.04,332425.31,0.9413,0.8011,0.4462,7.64,0.0854,1.6018,0.7295,0
60,F,Secondary / secondary special,Working,Separated,Municipal apartment,2,195519.32,833599.65,36544.53,799463.42,0.9109,0.708,0.8264,1.21,0.1869,4.2635,0.8151,0
41,M,Higher education,Commercial associate,Single / not married,House / apartment,3,126508.68,125791.31,9640.01,136669.24,0.754,0.8682,0.5245,2.38,0.0762,0.9943,0.7156,0
36,F,Higher education,Working,Single / not married,House / apartment,2,249904.0,534407.68,35503.04,494767.69,0.8048,0.7178,0.3195,5.76,0.1421,2.1384,0.614,0
65,M,Lower secondary,Working,Single / not married,House / apartment,3,82984.54,598863.71,35462.12,521500.09,0.7376,0.7066,0.8134,1.07,0.4273,7.2165,0.7526,1
38,F,Higher education,Working,Married,House / apartment,2,236344.55,195386.85,11094.05,194006.63,0.6997,0.8046,0.3186,0.12,0.0469,0.8267,0.6076,0
67,M,Secondary / secondary special,Working,Married,House / apartment,2,335083.68,231879.46,18592.01,245061.39,0.7762,0.7045,0.7786,2.06,0.0555,0.692,0.7531,0
44,M,Secondary / secondary special,Working,Single / not married,House / apartment,1,160804.51,1045111.28,43322.15,901978.67,0.5174,0.9099,0.7889,4.77,0.2694,6.4992,0.7387,1
46,M,Lower secondary,State servant,Single / not married,House / apartment,2,93769.13,236341.42,12814.81,265369.04,0.8393,0.8036,0.697,8.31,0.1367,2.5204,0.78,0
45,M,Incomplete higher,Commercial associate,Married,House / apartment,5,143317.04,709741.19,46467.95,615901.57,0.8792,0.8202,0.6275,2.48,0.3242,4.9522,0.7756,1
65,F,Secondary / secondary special,Working,Married,House / apartment,3,143562.4,520567.63,21205.48,590442.4,0.6399,0.6431,0.7146,11.99,0.1477,3.626,0.6659,0
61,F,Lower secondary,Commercial associate,Married,House / apartment,4,133618.92,183099.96,10275.88,155779.82,0.6377,0.8002,0.6402,2.84,0.0769,1.3703,0.6927,0
49,F,Secondary / secondary special,Working,Single / not married,House / apartment,4,101654.31,821188.04,57925.62,693897.36,0.8833,0.729,0.7044,7.07,0.5698,8.0782,0.7722,1
35,M,Secondary / secondary special,Working,Married,Rented apartment,3,226472.61,398384.65,22471.12,344587.29,0.7599,0.6426,0.711,0.82,0.0992,1.7591,0.7045,1
65,M,Higher education,Pensioner,Married,Rented apartment,4,137545.17,425017.59,15416.64,395232.23,0.6306,0.7867,0.8119,2.38,0.1121,3.09,0.7431,0
21,F,Secondary / secondary special,Pensioner,Civil marriage,House / apartment,2,205793.5,312933.85,20574.43,303697.62,0.4714,0.9144,0.3743,6.27,0.1,1.5206,0.5867,0
45,F,Secondary / secondary special,Commercial associate,Single / not married,With parents,2,285802.83,606892.67,23969.27,617879.43,0.8109,0.6219,0.5203,9.32,0.0839,2.1235,0.651,0
27,M,Secondary / secondary special,State servant,Single / not married,House / apartment,4,132939.35,799969.08,38861.37,726159.09,0.8399,0.9493,0.9362,0.69,0.2923,6.0175,0.9084,1
29,F,Secondary / secondary special,Pensioner,Separated,House / apartment,3,295271.71,122314.85,4067.71,118608.27,0.7124,0.6467,0.5332,3.6,0.0138,0.4142,0.6308,0
44,F,Higher education,Commercial associate,Married,House / apartment,4,56655.98,709830.97,42543.74,602812.55,0.6113,0.9213,0.6779,1.77,0.7509,12.5286,0.7368,1
21,F,Higher education,Pensioner,Single / not married,House / apartment,3,140501.94,507892.12,28216.67,516711.03,0.5766,0.7143,0.7653,6.37,0.2008,3.6148,0.6854,0
64,M,Secondary / secondary special,Commercial associate,Single / not married,With parents,4,48397.06,281761.2,21476.31,319418.95,0.7411,0.7323,0.4353,0.18,0.4437,5.8217,0.6362,1
28,M,Higher education,Working,Married,House / apartment,3,47892.99,441450.57,34593.29,412881.49,0.8669,0.8672,0.3831,0.87,0.7223,9.2172,0.7058,1
44,M,Higher education,Pensioner,Married,House / apartment,4,36870.64,1201477.69,100103.97,1199857.96,0.5904,0.8003,0.7752,0.3,2.7149,32.5854,0.7219,1
31,M,Secondary / secondary special,Working,Civil marriage,House / apartment,2,374935.8,376556.57,14206.72,404026.4,0.6636,0.782,0.4658,0.21,0.0379,1.0043,0.6372,0
37,M,Incomplete higher,Working,Married,House / apartment,1,98798.34,763734.35,36433.75,835687.21,0.5307,0.7255,0.4617,0.64,0.3688,7.7302,0.5726,1
28,M,Higher education,Working,Single / not married,House / apartment,2,95650.91,955985.45,64880.69,923780.73,0.6671,0.8987,0.5206,0.5,0.6783,9.9944,0.6955,1
55,F,Secondary / secondary special,Pensioner,Separated,House / apartment,2,129374.5,693473.76,60145.94,777502.29,0.7003,0.615,0.776,1.15,0.4649,5.3602,0.6971,1
55,M,Higher education,Working,Married,House / apartment,3,63878.22,491450.16,28609.93,507262.87,0.7099,0.4413,0.771,2.26,0.4479,7.6934,0.6407,1
53,M,Higher education,Working,Married,Municipal apartment,5,245311.42,1368305.56,82515.85,1270619.39,0.8845,0.3006,0.6387,1.25,0.3364,5.5778,0.6079,1
25,F,Higher education,Working,Separated,House / apartment,2,221167.25,881044.92,48232.12,919522.14,0.4929,0.8767,0.7711,1.71,0.2181,3.9836,0.7135,0
62,F,Secondary / secondary special,Commercial associate,Married,House / apartment,3,161478.77,436471.15,20780.13,480119.14,0.9239,0.7338,0.8864,15.08,0.1287,2.7029,0.848,0
59,F,Secondary / secondary special,Working,Single / not married,House / apartment,4,141867.54,535941.99,25021.56,555710.89,0.8121,0.8296,0.4045,0.81,0.1764,3.7777,0.6821,0
61,M,Higher education,Commercial associate,Married,House / apartment,4,115410.02,806590.72,38635.98,844012.09,0.6454,0.8726,0.7214,0.18,0.3348,6.9889,0.7465,1
48,F,Secondary / secondary special,State servant,Single / not married,Rented apartment,2,174206.49,549541.74,29699.83,520472.47,0.4186,0.9282,0.4771,17.62,0.1705,3.1545,0.6079,0
27,F,Secondary / secondary special,Working,Married,Rented apartment,3,128217.25,636310.58,37022.19,711776.59,0.3395,0.7745,0.6595,6.03,0.2887,4.9627,0.5912,1
29,M,Higher education,Pensioner,Married,House / apartment,2,60283.67,264072.7,8949.42,229277.85,0.7121,0.7541,0.5477,0.71,0.1485,4.3804,0.6713,1
28,F,Secondary / secondary special,Working,Married,House / apartment,2,233229.28,953042.2,71694.92,1038569.05,0.5595,0.9119,0.7223,0.71,0.3074,4.0863,0.7312,1
32,M,Higher education,Working,Married,House / apartment,2,169640.2,469811.11,16937.37,478345.25,0.9641,0.7683,0.6209,1.07,0.0998,2.7694,0.7844,0
54,M,Higher education,Commercial associate,Married,House / apartment,1,45559.74,597366.86,39430.31,543406.7,0.4052,0.6462,0.5002,0.11,0.8654,13.1114,0.5172,1
53,M,Secondary / secondary special,Pensioner,Married,House / apartment,1,88997.84,545249.06,37182.32,515004.81,0.796,0.7725,0.6741,0.71,0.4178,6.1265,0.7475,1
43,M,Secondary / secondary special,Working,Civil marriage,House / apartment,3,82011.3,283659.72,9265.24,290809.44,0.7741,0.6505,0.455,2.89,0.113,3.4587,0.6266,0
44,M,Incomplete higher,Commercial associate,Married,House / apartment,2,65650.86,464945.67,23720.03,443777.53,0.8002,0.8887,0.5352,7.83,0.3613,7.082,0.7414,1
57,F,Secondary / secondary special,Working,Civil marriage,House / apartment,1,210841.03,170300.89,12760.08,159994.81,0.7929,0.6271,0.6088,3.8,0.0605,0.8077,0.6763,0
55,M,Higher education,Commercial associate,Married,House / apartment,2,221227.99,612795.43,29603.13,528472.04,0.4653,0.7251,0.5452,11.29,0.1338,2.77,0.5785,0
64,F,Incomplete higher,Commercial associate,Single / not married,House / apartment,2,137286.7,662146.01,55365.18,749081.42,0.5444,0.7446,0.5398,2.79,0.4033,4.8231,0.6096,1
60,F,Higher education,Working,Single / not married,Rented apartment,4,166483.28,913318.11,79557.23,939821.55,0.7484,0.8046,0.5246,2.8,0.4779,5.4859,0.6925,1
42,M,Secondary / secondary special,Pensioner,Married,House / apartment,3,471905.23,357566.25,30175.8,403123.21,0.8746,0.703,0.8526,0.61,0.0639,0.7577,0.8101,0
47,M,Incomplete higher,Working,Married,House / apartment,5,119720.33,219458.44,14487.21,208505.87,0.5353,0.8281,0.7116,6.35,0.121,1.8331,0.6917,0
55,F,Secondary / secondary special,Commercial associate,Married,House / apartment,2,473453.3,260750.99,10258.27,294138.27,0.8466,0.8307,0.7851,10.98,0.0217,0.5507,0.8208,0
21,F,Secondary / secondary special,Commercial associate,Civil marriage,Rented apartment,1,118360.73,436615.51,26008.38,423484.75,0.3126,0.5791,0.7311,2.31,0.2197,3.6888,0.5409,1
55,M,Incomplete higher,Commercial associate,Married,House / apartment,4,113029.83,1290763.5,115498.14,1375027.33,0.955,0.8684,0.7345,1.86,1.0218,11.4196,0.8526,1
57,M,Secondary / secondary special,Working,Married,House / apartment,1,165407.63,174959.64,5975.73,162875.24,0.7282,0.4771,0.8517,2.64,0.0361,1.0577,0.6857,0
67,F,Secondary / secondary special,Working,Single / not married,House / apartment,2,323038.13,485355.16,25316.36,540759.67,0.9732,0.7647,0.4603,9.92,0.0784,1.5025,0.7327,0
34,M,Secondary / secondary special,Pensioner,Civil marriage,House / apartment,3,213422.62,148564.43,6732.85,146457.36,0.8464,0.8887,0.634,3.78,0.0315,0.6961,0.7897,0
23,F,Higher education,State servant,Single / not married,Rented apartment,3,129743.27,317548.22,27319.78,275893.61,0.6702,0.8768,0.595,5.58,0.2106,2.4475,0.714,0
21,F,Secondary / secondary special,Commercial associate,Married,With parents,3,144158.22,235500.65,13414.99,224453.48,0.8019,0.8534,0.7888,8.63,0.0931,1.6336,0.8147,0
25,M,Incomplete higher,Commercial associate,Married,House / apartment,2,128261.99,318698.77,9704.87,283358.38,0.8721,0.4023,0.7152,2.93,0.0757,2.4847,0.6632,0
46,M,Higher education,Pensioner,Single / not married,Municipal apartment,3,330637.89,653270.99,41475.6,690723.09,0.7659,0.5851,0.6846,1.34,0.1254,1.9758,0.6785,0
34,M,Secondary / secondary special,Working,Single / not married,House / apartment,3,120387.46,377785.93,19031.69,309132.59,0.6069,0.5722,0.9189,1.38,0.1581,3.1381,0.6993,0
59,F,Secondary / secondary special,Working,Married,House / apartment,3,234442.99,140102.01,10322.33,122474.76,0.466,0.9695,0.4849,0.36,0.044,0.5976,0.6401,0
47,M,Higher education,Pensioner,Married,With parents,4,319151.1,314017.21,12049.01,281782.26,0.5657,0.6258,0.7241,12.3,0.0378,0.9839,0.6385,0
29,M,Secondary / secondary special,Working,Civil marriage,House / apartment,3,186055.91,434030.19,32296.67,488118.17,0.9365,0.4892,0.8055,4.85,0.1736,2.3328,0.7437,0
35,F,Lower secondary,Pensioner,Married,House / apartment,4,335413.3,505580.06,26538.96,455483.56,0.6677,0.6941,0.7631,0.2,0.0791,1.5073,0.7083,0
35,M,Higher education,Working,Married,With parents,4,338082.78,490467.05,43937.03,462426.79,0.8104,0.9638,0.5971,0.29,0.13,1.4507,0.7904,0
46,M,Secondary / secondary special,Working,Single / not married,House / apartment,3,77436.16,264345.61,15554.37,303393.89,0.8518,0.612,0.6812,2.46,0.2009,3.4137,0.715,0
62,F,Secondary / secondary special,Commercial associate,Separated,Rented apartment,3,275707.01,582116.56,29484.51,645579.34,0.8841,0.8731,0.8373,0.07,0.1069,2.1114,0.8648,0
33,M,Secondary / secondary special,Working,Married,House / apartment,1,480857.51,205797.22,10356.26,224695.08,0.7479,0.7827,0.3717,6.21,0.0215,0.428,0.6341,0
52,F,Higher education,Commercial associate,Married,House / apartment,1,302924.74,822576.45,27360.81,700696.08,0.7301,0.7605,0.8095,0.83,0.0903,2.7154,0.7667,0
59,F,Secondary / secondary special,Commercial associate,Single / not married,House / apartment,3,501228.8,162887.66,14597.93,145360.92,0.3211,0.9332,0.9495,0.27,0.0291,0.325,0.7346,0
52,M,Lower secondary,Working,Married,Rented apartment,1,154031.77,1051511.15,76448.38,869312.55,0.6619,0.5455,0.6334,0.42,0.4963,6.8265,0.6136,1
24,M,Higher education,Commercial associate,Married,House / apartment,1,156797.57,1042670.98,83333.33,1066938.34,0.7763,0.6724,0.5718,6.85,0.5315,6.6497,0.6735,1
50,M,Secondary / secondary special,Working,Married,House / apartment,1,59995.12,114789.72,7171.88,118598.79,0.8674,0.6887,0.5383,1.9,0.1195,1.9133,0.6981,0
57,F,Lower secondary,Commercial associate,Married,House / apartment,2,144046.19,479673.22,41357.75,549898.12,0.7079,0.7778,0.3242,2.99,0.2871,3.33,0.6033,0
43,M,Secondary / secondary special,Working,Married,Rented apartment,6,157484.53,404886.46,23880.26,396271.17,0.7824,0.8354,0.7556,5.62,0.1516,2.5709,0.7911,0
59,F,Secondary / secondary special,Commercial associate,Married,House / apartment,1,414091.42,879648.58,41469.56,755435.14,0.8738,0.9555,0.7365,0.61,0.1001,2.1243,0.8553,0
65,F,Lower secondary,Working,Married,Rented apartment,2,194799.64,401468.65,30365.65,332040.72,0.9259,0.7662,0.8042,1.94,0.1559,2.0609,0.8321,0
35,M,Higher education,Commercial associate,Separated,House / apartment,3,276010.49,1170104.64,85104.68,995937.09,0.7971,0.9182,0.7464,3.88,0.3083,4.2393,0.8206,1
63,F,Secondary / secondary special,Pensioner,Separated,Rented apartment,3,72202.88,778806.12,61446.93,737874.96,0.9255,0.6993,0.455,0.67,0.851,10.7862,0.6933,1
49,M,Secondary / secondary special,Pensioner,Single / not married,House / apartment,4,216230.4,277062.27,23446.86,285363.3,0.8068,0.9015,0.2108,1.49,0.1084,1.2813,0.6397,0
56,F,Higher education,Pensioner,Single / not married,House / apartment,3,213946.81,648629.79,27047.85,607413.72,0.5347,0.6589,0.7811,6.06,0.1264,3.0317,0.6583,0
33,F,Secondary / secondary special,Working,Civil marriage,House / apartment,2,187866.5,529571.58,26395.04,542705.83,0.9244,0.6237,0.8633,9.4,0.1405,2.8189,0.8038,0
52,M,Higher education,State servant,Civil marriage,With parents,2,274720.39,624140.33,32978.79,557565.71,0.3741,0.4895,0.6676,5.44,0.12,2.2719,0.5104,1
27,M,Higher education,Working,Married,House / apartment,4,122480.24,474293.73,21277.39,398200.19,0.7106,0.5772,0.8216,0.09,0.1737,3.8724,0.7031,1
42,F,Higher education,Working,Single / not married,House / apartment,1,224879.27,779949.79,65702.85,693672.78,0.8501,0.7648,0.3641,13.52,0.2922,3.4683,0.6597,0
48,F,Higher education,Working,Married,With parents,3,152701.05,522673.49,30706.49,462663.28,0.7476,0.6639,0.5798,0.78,0.2011,3.4228,0.6638,0
